OBJECTID,Name,Village_Type,COMP_PLAN_TYPE,YR_1995,YR_2000,YR_2001,Job_00_01,YR_2002,Job_01_02,YR_2003,Job_02_03,YR_2004,Job_03_04,YR_2005,Job_04_05,YR_2006,Job_05_06,YR_2007,Job_06_07,YR_2008,Job_07_08,YR_2009,Job_08_09,YR_2010,Job_09_10,YR_2011,Job_10_11,YR_2012,Job_11_12,YR_2013,Job_12_13,YR_2014,Job_13_14,YR_2015,Job_14_15,YR_2016,Job_15_16,YR_2017,Job_16_17,YR_2018,Job_17_18
29,Othello,RUV,Residential Urban Villages,853,1148,1179,31,1123,-56,1140,17,986,-154,1007,21,1037,30,1101,64,1165,64,1170,5,1378,208,1404,26,1570,166,1562,-8,1529,-33,1408,-121,1405,-3,627,-778,1578,951
30,Outside Villages,XXX,Outside Villages,64148,72629,72520,-109,68503,-4017,67995,-508,67141,-854,69946,2805,72489,2543,75349,2860,81607,6258,79228,-2379,77591,-1637,75406,-2185,75569,163,79617,4048,83732,4115,85480,1748,89570,4090,90858,1288,94752,3894
31,Pike/Pine,UCV,Urban Centers,3581,6325,5999,-326,5458,-541,5487,29,5019,-468,5063,44,5602,539,5895,293,6362,467,5857,-505,5033,-824,5375,342,6130,755,6857,727,6404,-453,6738,334,7196,458,7509,313,7799,290
32,Pioneer Square,UCV,Urban Centers,10887,16424,13665,-2759,12396,-1269,11972,-424,11927,-45,12022,95,12848,826,12734,-114,11612,-1122,10935,-677,10454,-481,10124,-330,10973,849,12177,1204,11807,-370,12506,699,13510,1004,15259,1749,15832,573
33,Rainier Beach,RUV,Residential Urban Villages,924,1118,1156,38,1103,-53,1145,42,1102,-43,1167,65,1074,-93,1058,-16,968,-90,888,-80,1088,200,1059,-29,1026,-33,953,-73,1066,113,1086,20,1075,-11,1240,165,1155,-85
34,Ravenna,UCV,Urban Centers,1327,2206,2079,-127,2007,-72,2066,59,2353,287,2462,109,2508,46,2674,166,3035,361,2894,-141,2708,-186,2758,50,2894,136,3366,472,3503,137,3495,-8,3593,98,3630,37,3589,-41
35,Roosevelt,RUV,Residential Urban Villages,1378,1951,1790,-161,1665,-125,1612,-53,1639,27,1997,358,1970,-27,1758,-212,1688,-70,1536,-152,1496,-40,1569,73,1618,49,1546,-72,1661,115,1738,77,1663,-75,1680,17,1841,161
36,South Lake Union,UC,Urban Centers,15166,22735,21039,-1696,19599,-1440,18799,-800,17863,-936,19017,1154,20340,1323,21645,1305,22880,1235,21427,-1453,19644,-1783,26756,7112,29485,2729,32817,3332,35859,3042,39707,3848,44945,5238,54419,9474,62661,8242
37,South Park,RUV,Residential Urban Villages,1078,990,1305,315,1265,-40,1204,-61,910,-294,911,1,906,-5,991,85,1038,47,1111,73,1035,-76,1051,16,1138,87,830,-308,1232,402,1314,82,1323,9,1300,-23,1349,49
38,University Campus,UCV,Urban Centers,19982,23070,22970,-100,24566,1596,24182,-384,24182,0,25636,1454,25489,-147,25287,-202,25509,222,25405,-104,25568,163,26021,453,26104,83,24661,-1443,27395,2734,28119,724,28995,876,29622,627,27022,-2600
39,University District,UC,Urban Centers,28329,33164,33303,139,32810,-493,32222,-588,32725,503,34375,1650,34196,-179,34089,-107,33490,-599,32972,-518,32972,0,33468,496,34167,699,33266,-901,36256,2990,36951,695,38028,1077,38955,927,35838,-3117
40,University District Northwest,UCV,Urban Centers,7020,7887,8254,367,6237,-2017,6422,185,6189,-233,6277,88,6199,-78,6127,-72,4945,-1182,4673,-272,4696,23,4690,-6,5168,478,5238,70,5358,120,5337,-21,5440,103,5529,89,5227,-302
41,Upper Queen Anne,RUV,Residential Urban Villages,918,1389,1521,132,1398,-123,1480,82,1458,-22,1473,15,1471,-2,1563,92,1729,166,1534,-195,1556,22,1699,143,1737,38,1796,59,1899,103,1834,-65,1968,134,2038,70,1569,-469
42,Uptown,UC,Urban Centers,16377,16161,15927,-234,14413,-1514,14279,-134,13740,-539,14355,615,14256,-99,14558,302,15180,622,13862,-1318,13911,49,14801,890,14408,-393,14072,-336,14592,520,14781,189,14754,-27,14295,-459,14710,415
43,Wallingford,RUV,Residential Urban Villages,2581,3643,3540,-103,3304,-236,3332,28,2935,-397,2890,-45,3114,224,3001,-113,2987,-14,2772,-215,2784,12,2717,-67,2779,62,2813,34,2948,135,3055,107,3233,178,3357,124,3023,-334
44,West Seattle Junction,HUV,Hub Urban Villages,2504,2825,2889,64,2815,-74,2955,140,2966,11,3060,94,2926,-134,3082,156,2707,-375,2591,-116,2695,104,3306,611,2878,-428,3000,122,3334,334,3406,72,3675,269,3894,219,4011,117
45,Westwood-Highland Park,RUV,Residential Urban Villages,991,951,998,47,960,-38,1007,47,996,-11,1063,67,1202,139,1224,22,1224,0,1244,20,1367,123,1377,10,1366,-11,1417,51,1463,46,1551,88,1549,-2,1566,17,1635,69
