ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,perc_change,strike,volume
0.00,4.80,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"5,541",,,
0.00,3.30,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"12,007",,,
0.00,2.28,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"14,589",,,
0.00,132.47,0.00,,"September 16, 2022",0,2020-08-06 9:46AM EDT,1,,,
0.00,36.00,0.00,,"June 18, 2021",0,2020-08-07 2:10PM EDT,6,,,
0.00,34.20,0.00,,"June 18, 2021",0,2020-08-07 3:50PM EDT,51,,,
0.00,28.30,0.00,,"June 18, 2021",0,2020-08-07 3:51PM EDT,49,,,
0.00,24.15,0.00,,"June 18, 2021",0,2020-08-07 3:55PM EDT,147,,,
0.00,104.29,0.00,,"June 17, 2022",3,2020-07-09 4:58PM EDT,3,,,
0.00,78.12,0.00,,"June 17, 2022",5,2020-07-09 4:58PM EDT,1,,,
118.90,116.00,122.40,,"June 17, 2022",14,2020-07-08 11:32AM EDT,2,,,
0.00,112.65,0.00,,"June 17, 2022",0,2020-08-04 2:53PM EDT,2,,,
0.00,85.60,0.00,,"September 17, 2021",0,2020-08-07 2:15PM EDT,1,,,
0.00,82.01,0.00,,"September 17, 2021",0,2020-08-05 3:14PM EDT,11,,,
0.00,68.40,0.00,,"September 17, 2021",0,2020-07-31 3:48PM EDT,7,,,
0.00,75.85,0.00,,"September 17, 2021",0,2020-07-13 12:04PM EDT,4,,,
0.00,138.50,0.00,,"January 21, 2022",0,2020-08-05 10:31AM EDT,1,,,
0.00,123.50,0.00,,"January 21, 2022",0,2020-07-27 1:51PM EDT,1,,,
126.65,128.61,129.25,,"January 21, 2022",153,2020-07-09 3:33PM EDT,4,,,
0.00,121.68,0.00,,"January 21, 2022",0,2020-08-04 2:37PM EDT,15,,,
0.00,110.00,0.00,,"January 21, 2022",0,2020-07-16 10:29AM EDT,4,,,
98.50,101.51,102.65,,"March 18, 2022",25,2020-07-09 2:58PM EDT,21,,,
0.00,79.97,0.00,,"March 18, 2022",6,2020-07-09 4:58PM EDT,5,,,
0.00,62.28,0.00,,"March 18, 2022",8,2020-07-09 4:58PM EDT,3,,,
88.90,88.65,92.90,,"March 18, 2022",19,2020-07-07 11:32AM EDT,1,,,
71.30,70.70,76.00,,"March 18, 2022",23,2020-06-24 11:25AM EDT,1,,,
0.00,78.93,0.00,,"March 18, 2022",0,2020-08-03 11:19AM EDT,1,,,
0.00,1.51,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"5,991",,,
0.00,1.02,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"11,651",,,
0.00,0.72,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"3,224",,,
0.00,0.50,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"4,794",,,
0.00,0.38,0.00,,"August 14, 2020",0,2020-08-07 3:58PM EDT,"1,757",,,
0.00,0.31,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"2,684",,,
0.00,126.20,0.00,,"September 16, 2022",0,2020-08-04 12:13PM EDT,1,,,
0.00,125.85,0.00,,"September 16, 2022",0,2020-08-03 1:13PM EDT,1,,,
0.00,123.05,0.00,,"September 16, 2022",0,2020-08-07 10:34AM EDT,1,,,
0.00,114.35,0.00,,"September 16, 2022",0,2020-08-07 3:13PM EDT,2,,,
0.00,109.40,0.00,,"September 16, 2022",0,2020-08-04 10:40AM EDT,1,,,
0.00,108.00,0.00,,"September 16, 2022",0,2020-08-07 10:36AM EDT,1,,,
0.00,20.00,0.00,,"June 18, 2021",0,2020-08-07 3:59PM EDT,311,,,
0.00,16.70,0.00,,"June 18, 2021",0,2020-08-07 3:51PM EDT,149,,,
0.00,13.80,0.00,,"June 18, 2021",0,2020-08-07 3:47PM EDT,58,,,
