ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
0.02,0.02,0.03,MSFT200814C00255000,"August 14, 2020",912,2020-08-10 11:33AM EDT,109,call,-0.06,255.00,-75.00%
0.01,0.01,0.02,MSFT200814C00260000,"August 14, 2020",533,2020-08-10 10:43AM EDT,30,call,-0.06,260.00,-85.71%
126.05,129.60,129.80,MSFT220916C00080000,"September 16, 2022",265,2020-08-10 10:13AM EDT,6,call,-2.87,80.00,-2.17%
94.45,96.90,96.10,MSFT220121C00115000,"January 21, 2022",328,2020-08-10 10:07AM EDT,1,call,-3.53,115.00,-3.51%
90.20,96.00,91.60,MSFT220121C00120000,"January 21, 2022",488,2020-08-07 3:46PM EDT,3,call,0.00,120.00,-
86.35,92.10,87.80,MSFT220121C00125000,"January 21, 2022",515,2020-08-06 10:23AM EDT,2,call,0.00,125.00,-
82.35,84.55,83.70,MSFT220121C00130000,"January 21, 2022",938,2020-08-05 11:39AM EDT,2,call,-2.75,130.00,-3.15%
78.35,85.00,79.70,MSFT220121C00135000,"January 21, 2022",807,2020-08-06 1:51PM EDT,6,call,0.00,135.00,-
74.50,79.50,75.80,MSFT220121C00140000,"January 21, 2022","1,598",2020-08-07 12:08PM EDT,2,call,0.00,140.00,-
70.50,76.71,72.10,MSFT220121C00145000,"January 21, 2022","1,447",2020-08-07 10:21AM EDT,1,call,0.00,145.00,-
67.00,67.80,68.40,MSFT220121C00150000,"January 21, 2022","2,196",2020-08-07 1:24PM EDT,1,call,-3.20,150.00,-4.51%
63.60,64.10,64.90,MSFT220121C00155000,"January 21, 2022","1,675",2020-08-10 9:50AM EDT,25,call,-4.80,155.00,-6.97%
0.01,0.01,0.02,MSFT200814C00265000,"August 14, 2020","1,201",2020-08-10 10:54AM EDT,20,call,-0.03,265.00,-75.00%
0.01,0.01,0.02,MSFT200814C00270000,"August 14, 2020",679,2020-08-10 10:59AM EDT,127,call,-0.04,270.00,-80.00%
0.00,0.02,0.01,MSFT200814C00275000,"August 14, 2020",395,2020-08-10 10:03AM EDT,2,call,-0.02,275.00,-50.00%
0.00,0.05,0.01,MSFT200814C00280000,"August 14, 2020","1,043",2020-08-07 2:44PM EDT,27,call,0.00,280.00,-
0.00,0.01,0.01,MSFT200814C00285000,"August 14, 2020",556,2020-08-10 9:33AM EDT,1,call,-0.02,285.00,-66.67%
0.00,0.01,0.01,MSFT200814C00290000,"August 14, 2020","1,788",2020-08-10 10:39AM EDT,51,call,-0.02,290.00,-66.67%
0.00,0.02,0.03,MSFT200814C00295000,"August 14, 2020","1,211",2020-08-07 3:29PM EDT,32,call,0.00,295.00,-
0.00,0.04,0.01,MSFT200814C00300000,"August 14, 2020","1,100",2020-08-10 9:52AM EDT,100,call,+0.02,300.00,+100.00%
48.85,54.55,50.25,MSFT210716C00170000,"July 16, 2021",1,2020-08-07 3:59PM EDT,1,call,0.00,170.00,-
121.85,126.20,125.50,MSFT220916C00085000,"September 16, 2022",16,2020-08-04 12:13PM EDT,1,call,0.00,85.00,-
117.30,125.85,121.20,MSFT220916C00090000,"September 16, 2022",123,2020-08-03 1:13PM EDT,1,call,0.00,90.00,-
113.00,123.05,116.55,MSFT220916C00095000,"September 16, 2022",29,2020-08-07 10:34AM EDT,1,call,0.00,95.00,-
108.80,114.35,111.65,MSFT220916C00100000,"September 16, 2022",750,2020-08-07 3:13PM EDT,2,call,0.00,100.00,-
104.40,109.40,107.25,MSFT220916C00105000,"September 16, 2022",34,2020-08-04 10:40AM EDT,1,call,0.00,105.00,-
99.90,101.09,103.30,MSFT220916C00110000,"September 16, 2022",111,2020-08-10 11:47AM EDT,2,call,-6.91,110.00,-6.40%
95.85,101.14,98.85,MSFT220916C00115000,"September 16, 2022",54,2020-08-03 9:58AM EDT,3,call,0.00,115.00,-
92.45,96.00,94.80,MSFT220916C00120000,"September 16, 2022",368,2020-08-10 9:30AM EDT,2,call,0.00,120.00,-
88.00,90.00,91.05,MSFT220916C00125000,"September 16, 2022",208,2020-08-06 3:47PM EDT,1,call,-6.50,125.00,-6.74%
59.80,60.35,61.30,MSFT220121C00160000,"January 21, 2022","2,137",2020-08-10 10:49AM EDT,1,call,-4.75,160.00,-7.30%
57.00,57.29,57.95,MSFT220121C00165000,"January 21, 2022","4,100",2020-08-10 10:52AM EDT,3,call,-4.36,165.00,-7.07%
